codigo_uc;nome_uc;categoria_manejo;grupo;ano_inicial;ano_final;area_inicial;area_final;delta_area;delta_pct;slope_ha_ano;slope_pct_ano;n_anos;span_anos;coverage_ratio;max_abs_yoy_pct;median_abs_yoy_pct;coorte;serie_tipo;qc_area_suspeita;qc_salto_excessivo;qc_yoy_excessivo;qc_cobertura_baixa;qc_pass
1;ÁREA DE PROTEÇÃO AMBIENTAL ANHATOMIRIM;Área de Proteção Ambiental;US;2019;2024;4437.0;4436.58041;-0.4195900000004258;-9.456614829849579e-05;-0.09590628571438303;-2.1615800985431945e-05;6;6;1.0;9.456614829849579e-05;0.0;nova;longa;False;False;False;False;True
5;ÁREA DE PROTEÇÃO AMBIENTAL DA BACIA DO RIO SÃO JOÃO - MICO LEÃO;Área de Proteção Ambiental;US;2019;2024;150373.0;75262456.269;75112083.269;499.5051190639277;12876357.219714284;0.5112153865796465;6;6;1.0;999.0102278999555;0.0;nova;longa;False;True;True;False;False
6;ÁREA DE PROTEÇÃO AMBIENTAL DA BALEIA FRANCA;Área de Proteção Ambiental;US;2019;2024;154858.5;154859.3202;0.8201999999873806;5.296448047652409e-06;0.1589028571399727;1.0261135525760743e-06;6;6;1.0;6.4575288328662386e-06;2.0676873800514052e-06;nova;longa;False;False;False;False;True
7;ÁREA DE PROTEÇÃO AMBIENTAL BARRA DO RIO MAMANGUAPE;Área de Proteção Ambiental;US;2019;2024;14919.0;14918.81024;-0.18975999999929627;-1.2719351162899408e-05;-0.04337371428555343;-2.9072925920973824e-06;6;6;1.0;1.2719351162899408e-05;0.0;nova;longa;False;False;False;False;True
9;ÁREA DE PROTEÇÃO AMBIENTAL COSTA DOS CORAIS;Área de Proteção Ambiental;US;2019;2024;404268.0;405628.9935;1360.9934999999823;0.003366562527828031;311.0842285714245;0.0007677768231241643;6;6;1.0;0.0033665786062710874;0.0;nova;longa;False;False;False;False;True
10;ÁREA DE PROTEÇÃO AMBIENTAL DE PETRÓPOLIS;Área de Proteção Ambiental;US;2019;2024;68224.0;63457.72047;-4766.27953;-0.06986221168503752;-1361.8103531428571;-0.02043678915152243;6;6;1.0;0.1397321543993648;0.0;nova;longa;False;False;False;False;True
13;ÁREA DE PROTEÇÃO AMBIENTAL DE CAIRUÇU;Área de Proteção Ambiental;US;2019;2024;32611.0;32610.77938;-0.22062000000005355;-6.765201925732224e-06;-0.05042742857144081;-1.546335355829103e-06;6;6;1.0;6.765201925732224e-06;0.0;nova;longa;False;False;False;False;True
14;ÁREA DE PROTEÇÃO AMBIENTAL DE CANANÉIA-IGUAPÉ-PERUÍBE;Área de Proteção Ambiental;US;2019;2024;202308.0;202309.5577;1.5577000000048429;7.699646084212403e-06;0.35604571428682125;1.7599145880563464e-06;6;6;1.0;7.699646084212403e-06;0.0;nova;longa;False;False;False;False;True
15;ÁREA DE PROTEÇÃO AMBIENTAL DE FERNANDO DE NORONHA;Área de Proteção Ambiental;US;2019;2024;154358.5;154357.9418;-0.5581999999994878;-3.616256960254782e-06;-0.15615999999988292;-1.0116731948725934e-06;6;6;1.0;6.4784042394677345e-06;0.0;nova;longa;False;False;False;False;True
16;ÁREA DE PROTEÇÃO AMBIENTAL DE GUAPI-MIRIM;Área de Proteção Ambiental;US;2019;2024;13890.0;13890.14128;0.1412799999998242;1.0171346292283961e-05;0.03229257142853125;2.3248712701651237e-06;6;6;1.0;1.0171346292283961e-05;0.0;nova;longa;False;False;False;False;True
17;ÁREA DE PROTEÇÃO AMBIENTAL DE GUARAQUEÇABA;Área de Proteção Ambiental;US;2019;2024;282441.0;245640.9079;-36800.09210000001;-0.13029302438385365;-8411.449622857144;-0.031133418466791535;6;6;1.0;0.13029302438385365;0.0;nova;longa;False;False;False;False;True
18;ÁREA DE PROTEÇÃO AMBIENTAL DE PIAÇABUÇU;Área de Proteção Ambiental;US;2019;2024;9107.0;9107.105288;0.1052880000006553;1.1561216646607589e-05;0.024065828571578355;2.642553621227239e-06;6;6;1.0;1.1561216646607589e-05;0.0;nova;longa;False;False;False;False;True
19;ÁREA DE PROTEÇÃO AMBIENTAL DELTA DO PARNAIBA;Área de Proteção Ambiental;US;2019;2024;309585.0;309589.6125;4.6124999999883585;1.489897766360889e-05;1.0542857142830533;3.405463696182374e-06;6;6;1.0;1.489897766360889e-05;0.0;nova;longa;False;False;False;False;True
29;ÁREA DE PROTEÇÃO AMBIENTAL SERRA DA IBIAPABA;Área de Proteção Ambiental;US;2019;2024;1624173.0;815039526.3125;813415353.3125;500.8181722713652;139442893.00357142;0.5112243419036725;6;6;1.0;1001.6335322653437;0.0;nova;longa;False;True;True;False;False
34;MONUMENTO NATURAL DAS ILHAS CAGARRAS;Monumento Natural;PI;2019;2024;106.0;91.19849516;-14.801504840000007;-0.13963683811320762;-3.383201106285716;-0.035217405674593694;6;6;1.0;0.14150943396226415;0.0;nova;longa;False;False;False;False;True
